connected to 192.168.1.14
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1554771120.0,53,12,53.6666666667,12.6666666667,5.76363636363,-38.628,-38.628,-38.628,0,0,0,0,0,0,0,0,0,0,0,0
1554771120.09,56,10,56.3333333333,10.0,4.94545454547,-41.4585,-76.2237,-2.8305,0,0,0,0,0,0,0,0,0,0,0,0
1554771120.18,56,10,56.3333333333,10.0,7.1484848485,-39.4605,-108.06183,1.998,0,0,0,0,0,0,0,0,0,0,0,0
1554771120.27,55,11,55.0,11.3333333333,8.42727272727,-34.965,-132.220647,4.4955,0,0,0,0,0,0,0,0,0,0,0,0
1554771120.36,51,14,51.6666666667,14.6666666667,8.5,-26.973,-145.9715823,7.992,0,0,0,0,0,0,0,0,0,0,0,0
1554771120.46,46,20,46.3333333333,20.0,7.19696969697,-16.4835,-147.85792407,10.4895,0,0,0,0,0,0,0,0,0,0,0,0
1554771120.55,41,25,41.0,25.3333333333,8.73636363637,-6.66,-139.732131663,9.8235,0,0,0,0,0,0,0,0,0,0,0,0
1554771120.65,36,30,36.0,30.3333333333,10.2606060606,2.4975,-123.261418497,9.1575,0,0,0,0,0,0,0,0,0,0,0,0
1554771120.74,30,36,30.3333333333,36.0,10.5727272727,12.4875,-98.447776647,9.99,0,0,0,0,0,0,0,0,0,0,0,0
1554771120.83,27,39,27.3333333333,39.0,10.9393939394,16.317,-72.2859989823,3.8295,0,0,0,0,0,0,0,0,0,0,0,0
1554771120.93,28,37,28.6666666667,37.6666666667,10.6151515152,12.3210050812,-52.7363940029,-3.99599491882,0,0,0,0,0,0,0,0,0,0,0,0
1554771121.02,32,34,32.0,34.3333333333,10.4606060606,5.328,-42.1347546026,-6.99300508118,0,0,0,0,0,0,0,0,0,0,0,0
1554771121.11,35,31,35.0,31.3333333333,10.5787878788,-0.999,-38.9202791424,-6.327,0,0,0,0,0,0,0,0,0,0,0,0
1554771121.21,37,28,37.6666666667,28.6666666667,10.6333333333,-6.1605,-41.1887512281,-5.1615,0,0,0,0,0,0,0,0,0,0,0,0
1554771121.3,40,26,40.0,26.3333333333,10.7,-10.323,-47.3928761053,-4.1625,0,0,0,0,0,0,0,0,0,0,0,0
1554771121.39,43,23,43.3333333333,23.0,11.2303030303,-16.3169898376,-58.9705783324,-5.99398983765,0,0,0,0,0,0,0,0,0,0,0,0
1554771121.49,45,20,45.6666666667,20.6666666667,12.3303030303,-20.313,-73.3865204992,-3.99601016235,0,0,0,0,0,0,0,0,0,0,0,0
1554771121.58,47,19,47.0,19.3333333333,12.7424242424,-21.6449898376,-87.6928582869,-1.33198983765,0,0,0,0,0,0,0,0,0,0,0,0
1554771121.68,47,18,47.6666666667,18.6666666667,10.3636363636,-22.1445,-101.068072458,-0.499510162354,0,0,0,0,0,0,0,0,0,0,0,0
1554771121.77,42,24,42.0,24.3333333333,0.98787878788,-10.8225,-101.783765212,11.322,0,0,0,0,0,0,0,0,0,0,0,0
1554771121.86,48,18,48.0,18.3333333333,3.0696969697,-21.905730423,-113.511119114,-11.083230423,0,0,0,0,0,0,0,0,0,0,0,0
1554771121.96,47,19,47.0,19.3333333333,0.0969696969697,-19.314,-121.474007203,2.59173042297,0,0,0,0,0,0,0,0,0,0,0,0
1554771122.05,46,20,46.0,20.3333333333,0.0969696969697,-16.983,-126.309606482,2.331,0,0,0,0,0,0,0,0,0,0,0,0
1554771122.14,43,22,44.0,22.3333333333,0.742424242423,-13.1535,-126.832145834,3.8295,0,0,0,0,0,0,0,0,0,0,0,0
1554771122.24,48,17,48.6666666667,17.6666666667,0.090909090909,-21.8115,-135.960431251,-8.658,0,0,0,0,0,0,0,0,0,0,0,0
1554771122.33,46,19,46.6666666667,19.6666666667,0.481818181817,-17.4825,-139.846888126,4.329,0,0,0,0,0,0,0,0,0,0,0,0
1554771122.42,50,16,50.3333333333,16.0,0.233333333333,-24.1425,-150.004699313,-6.66,0,0,0,0,0,0,0,0,0,0,0,0
1554771122.52,45,21,45.3333333333,21.0,3.84242424243,-14.4855,-149.489729382,9.657,0,0,0,0,0,0,0,0,0,0,0,0
1554771122.61,42,23,42.6666666667,23.6666666667,2.40606060606,-9.4905,-144.031256444,4.995,0,0,0,0,0,0,0,0,0,0,0,0
1554771122.71,42,24,42.3333333333,24.0,0.61515151515,-9.1575,-138.785630799,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1554771122.8,37,29,37.0,29.3333333333,1.13333333333,0.333,-124.574067719,9.4905,0,0,0,0,0,0,0,0,0,0,0,0
1554771122.89,37,28,37.6666666667,28.6666666667,0.169696969697,-1.332,-113.448660947,-1.665,0,0,0,0,0,0,0,0,0,0,0,0
1554771122.99,33,32,33.6666666667,32.6666666667,1.13939393939,5.1615,-96.9422948527,6.4935,0,0,0,0,0,0,0,0,0,0,0,0
1554771123.08,30,36,30.0,36.3333333333,1.44242424242,11.322,-75.9260653674,6.1605,0,0,0,0,0,0,0,0,0,0,0,0
1554771123.18,27,38,27.6666666667,38.6666666667,2.26060606061,14.4855,-53.8479588307,3.1635,0,0,0,0,0,0,0,0,0,0,0,0
1554771123.27,25,40,25.6666666667,40.6666666667,2.23939393939,16.983,-31.4801629476,2.4975,0,0,0,0,0,0,0,0,0,0,0,0
1554771123.36,23,42,23.6666666667,42.6666666667,4.98181818183,19.8135,-8.51864665284,2.8305,0,0,0,0,0,0,0,0,0,0,0,0
1554771123.46,22,43,22.6666666667,43.6666666667,6.1696969697,20.1465,12.4797180124,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1554771123.55,23,43,23.0,43.3333333333,7.2393939394,18.1485,29.3802462112,-1.998,0,0,0,0,0,0,0,0,0,0,0,0
1554771123.64,24,42,24.0,42.3333333333,10.0545454545,15.8175,42.2597215901,-2.331,0,0,0,0,0,0,0,0,0,0,0,0
1554771123.74,24,42,24.0,42.3333333333,8.5606060606,14.652,52.6857494311,-1.1655,0,0,0,0,0,0,0,0,0,0,0,0
1554771123.83,24,42,24.3333333333,42.0,11.0757575758,13.4865,60.903674488,-1.1655,0,0,0,0,0,0,0,0,0,0,0,0
1554771123.93,25,41,25.0,41.3333333333,11.4212121212,11.8215050812,66.6348121203,-1.66499491882,0,0,0,0,0,0,0,0,0,0,0,0
1554771124.02,25,41,25.0,41.3333333333,10.8878787879,11.8215050812,71.7928359895,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1554771124.11,24,41,24.6666666667,41.6666666667,10.6636363636,11.988,76.6015523905,0.166494918823,0,0,0,0,0,0,0,0,0,0,0,0
1554771124.21,24,42,24.3333333333,42.0,10.5909090909,12.1545,81.0958971515,0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1554771124.3,24,42,24.3333333333,42.0,10.6787878788,11.8215050812,84.8078125175,-0.332994918823,0,0,0,0,0,0,0,0,0,0,0,0
1554771124.4,24,42,24.0,42.3333333333,11.3181818182,12.321,88.6480312658,0.499494918823,0,0,0,0,0,0,0,0,0,0,0,0
1554771124.49,24,42,24.0,42.3333333333,11.5696969697,12.4875,92.2707281392,0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1554771124.58,24,42,24.0,42.3333333333,11.603030303,12.1545,95.1981553253,-0.333,0,0,0,0,0,0,0,0,0,0,0,0
1554771124.68,22,43,22.6666666667,43.6666666667,11.2515151515,14.1525,99.8308397927,1.998,0,0,0,0,0,0,0,0,0,0,0,0
1554771124.77,22,44,22.0,44.3333333333,11.0060606061,15.4845050812,105.332260895,1.33200508118,0,0,0,0,0,0,0,0,0,0,0,0
1554771124.86,21,45,21.3333333333,45.0,10.8242424242,16.1505,110.949534805,0.665994918823,0,0,0,0,0,0,0,0,0,0,0,0
1554771124.96,21,45,21.3333333333,45.0,10.603030303,16.1505,116.005081325,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1554771125.05,20,46,20.3333333333,46.0,11.1727272727,17.6490050812,122.053578273,1.49850508118,0,0,0,0,0,0,0,0,0,0,0,0
1554771125.14,20,46,20.0,46.3333333333,11.8242424242,17.982,127.830220446,0.332994918823,0,0,0,0,0,0,0,0,0,0,0,0
1554771125.24,19,46,19.6666666667,46.6666666667,12.7515151515,17.8155,132.862698401,-0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1554771125.33,19,47,19.0,47.3333333333,12.3666666667,18.981,138.557428561,1.1655,0,0,0,0,0,0,0,0,0,0,0,0
1554771125.42,17,48,17.6666666667,48.6666666667,11.8606060606,21.1455,145.847185705,2.1645,0,0,0,0,0,0,0,0,0,0,0,0
1554771125.52,16,49,16.6666666667,49.6666666667,12.0393939394,22.4775,153.739967135,1.332,0,0,0,0,0,0,0,0,0,0,0,0
