connected to 192.168.1.14
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1554945804.0,83,-16,83.0,-16.3333333333,8.70606060607,-28.971,-28.971,-28.971,0,0,0,0,0,0,0,0,0,0,0,0
1554945804.08,49,16,49.6666666667,16.6666666667,10.3393939394,-28.638,-54.7119,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1554945804.17,40,26,40.0,26.3333333333,9.36363636363,-21.978,-71.21871,6.66,0,0,0,0,0,0,0,0,0,0,0,0
1554945804.27,25,40,25.6666666667,40.6666666667,8.72424242423,-8.65799491882,-72.7548339188,13.3200050812,0,0,0,0,0,0,0,0,0,0,0,0
1554945804.36,20,46,20.3333333333,46.0,9.72727272727,3.4965,-61.9828505269,12.1544949188,0,0,0,0,0,0,0,0,0,0,0,0
1554945804.45,31,34,31.6666666667,34.6666666667,10.8606060606,4.8285,-50.9560654742,1.332,0,0,0,0,0,0,0,0,0,0,0,0
1554945804.55,41,25,41.3333333333,25.0,11.0575757576,-0.1665,-46.0269589268,-4.995,0,0,0,0,0,0,0,0,0,0,0,0
1554945804.64,42,24,42.3333333333,24.0,11.9363636364,-4.329,-45.7532630341,-4.1625,0,0,0,0,0,0,0,0,0,0,0,0
1554945804.73,44,22,44.3333333333,22.0,12.0242424242,-8.1585,-49.3364367307,-3.8295,0,0,0,0,0,0,0,0,0,0,0,0
1554945804.83,43,22,44.0,22.3333333333,11.8606060606,-10.4895,-54.8922930577,-2.331,0,0,0,0,0,0,0,0,0,0,0,0
1554945804.92,42,24,42.3333333333,24.0,11.5606060606,-10.989,-60.3920637519,-0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1554945805.02,42,24,42.3333333333,24.0,11.3515151515,-11.1555,-65.5083573767,-0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1554945805.11,41,24,41.6666666667,24.6666666667,11.1242424242,-10.8225,-69.780021639,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1554945805.2,43,23,43.0,23.3333333333,11.0696969697,-11.322,-74.1240194751,-0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1554945805.3,46,20,46.0,20.3333333333,11.8242424242,-13.1535,-79.8651175276,-1.8315,0,0,0,0,0,0,0,0,0,0,0,0
1554945805.39,45,21,45.0,21.3333333333,12.3909090909,-13.653,-85.5316057749,-0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1554945805.49,42,24,42.0,24.3333333333,13.1909090909,-12.1545,-89.1329451974,1.4985,0,0,0,0,0,0,0,0,0,0,0,0
1554945805.58,44,21,44.6666666667,21.6666666667,12.8696969697,-12.654,-92.8736506776,-0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1554945805.67,45,21,45.3333333333,21.0,12.6242424242,-13.32,-96.9062856099,-0.666,0,0,0,0,0,0,0,0,0,0,0,0
1554945805.77,44,22,44.3333333333,22.0,12.0727272727,-12.987,-100.202657049,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1554945805.86,45,21,45.3333333333,21.0,11.8878787879,-13.32,-103.502391344,-0.333,0,0,0,0,0,0,0,0,0,0,0,0
1554945805.95,45,21,45.3333333333,21.0,11.6666666667,-13.4865,-106.63865221,-0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1554945806.05,41,24,41.6666666667,24.6666666667,6.73333333333,-11.2303813019,-107.205168291,2.25611869812,0,0,0,0,0,0,0,0,0,0,0,0
1554945806.14,45,21,45.3333333333,21.0,6.07272727273,-11.988,-108.472651461,-0.75761869812,0,0,0,0,0,0,0,0,0,0,0,0
1554945806.23,40,25,40.6666666667,25.6666666667,4.1484848485,-9.73434567261,-107.359731988,2.25365432739,0,0,0,0,0,0,0,0,0,0,0,0
1554945806.33,44,22,44.3333333333,22.0,2.23333333333,-10.323,-106.946758789,-0.588654327393,0,0,0,0,0,0,0,0,0,0,0,0
1554945806.42,37,29,37.3333333333,29.0,3.83636363637,-6.66,-102.91208291,3.663,0,0,0,0,0,0,0,0,0,0,0,0
1554945806.52,38,27,38.6666666667,27.6666666667,1.35454545455,-4.995,-97.6158746192,1.665,0,0,0,0,0,0,0,0,0,0,0,0
1554945806.61,44,21,44.6666666667,21.6666666667,0.70606060606,-7.4925,-95.3467871573,-2.4975,0,0,0,0,0,0,0,0,0,0,0,0
1554945806.71,39,27,39.3333333333,27.0,0.778787878787,-6.1605,-91.9726084415,1.332,0,0,0,0,0,0,0,0,0,0,0,0
1554945806.8,26,39,26.6666666667,39.6666666667,1.78181818182,1.998,-80.7773475974,8.1585,0,0,0,0,0,0,0,0,0,0,0,0
1554945806.89,27,38,27.6666666667,38.6666666667,1.98181818182,6.75990101624,-65.9397118214,4.76190101624,0,0,0,0,0,0,0,0,0,0,0,0
1554945806.99,23,43,23.0,43.3333333333,2.6696969697,12.321,-47.0247406393,5.56109898376,0,0,0,0,0,0,0,0,0,0,0,0
1554945807.08,29,36,29.6666666667,36.6666666667,1.33333333333,11.6732719116,-30.6489946637,-0.647728088379,0,0,0,0,0,0,0,0,0,0,0,0
1554945807.17,28,38,28.0,38.3333333333,5.13636363637,11.655,-15.9290951974,-0.0182719116211,0,0,0,0,0,0,0,0,0,0,0,0
1554945807.27,26,40,26.3333333333,40.0,6.3212121212,12.321,-2.01518567762,0.666,0,0,0,0,0,0,0,0,0,0,0,0
1554945807.36,28,37,28.6666666667,37.6666666667,8.23333333333,10.989,9.17533289014,-1.332,0,0,0,0,0,0,0,0,0,0,0,0
1554945807.45,26,40,26.3333333333,40.0,6.6484848485,11.1555,19.4132996011,0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1554945807.55,25,41,25.3333333333,41.0,11.0757575758,11.655,29.126969641,0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1554945807.64,23,43,23.3333333333,43.0,11.3060606061,12.8205,39.0347726769,1.1655,0,0,0,0,0,0,0,0,0,0,0,0
1554945807.74,26,40,26.0,40.3333333333,11.7060606061,11.8215,46.9527954092,-0.999,0,0,0,0,0,0,0,0,0,0,0,0
1554945807.83,20,46,20.3333333333,46.0,11.2636363636,14.319,56.5765158683,2.4975,0,0,0,0,0,0,0,0,0,0,0,0
1554945807.92,21,45,21.0,45.3333333333,11.0636363636,15.318,66.2368642815,0.999,0,0,0,0,0,0,0,0,0,0,0,0
1554945808.02,22,44,22.3333333333,44.0,10.9636363636,14.985,74.5981778533,-0.333,0,0,0,0,0,0,0,0,0,0,0,0
1554945808.11,24,42,24.0,42.3333333333,11.2939393939,13.653,80.791360068,-1.332,0,0,0,0,0,0,0,0,0,0,0,0
1554945808.2,23,43,23.0,43.3333333333,12.0454545455,12.987,85.6992240612,-0.666,0,0,0,0,0,0,0,0,0,0,0,0
1554945808.3,23,43,23.3333333333,43.0,12.1757575758,12.3210050812,89.4503067362,-0.665994918823,0,0,0,0,0,0,0,0,0,0,0,0
1554945808.39,22,44,22.0,44.3333333333,12.0909090909,12.4875,92.9927760626,0.166494918823,0,0,0,0,0,0,0,0,0,0,0,0
1554945808.48,18,48,18.3333333333,48.0,11.6515151515,14.652,98.3454984564,2.1645,0,0,0,0,0,0,0,0,0,0,0,0
1554945808.58,19,47,19.0,47.3333333333,11.1818181818,15.651,104.161948611,0.999,0,0,0,0,0,0,0,0,0,0,0,0
1554945808.67,22,44,22.0,44.3333333333,9.61818181817,14.4855,108.23125375,-1.1655,0,0,0,0,0,0,0,0,0,0,0,0
1554945808.77,20,45,20.6666666667,45.6666666667,10.8272727273,14.319,111.727128375,-0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1554945808.86,19,46,19.6666666667,46.6666666667,11.5545454545,14.652,115.206415537,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1554945808.96,20,45,20.6666666667,45.6666666667,12.4545454545,14.1525,117.838273983,-0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1554945809.05,21,45,21.0,45.3333333333,12.5242424242,13.653,119.707446585,-0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1554945809.14,18,48,18.3333333333,48.0,12.1393939394,14.8185,122.555201927,1.1655,0,0,0,0,0,0,0,0,0,0,0,0
1554945809.23,17,48,17.3333333333,49.0,12.0242424242,16.1505,126.450181734,1.332,0,0,0,0,0,0,0,0,0,0,0,0
1554945809.33,18,48,18.0,48.3333333333,12.5090909091,16.4835,130.288663561,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1554945809.42,20,45,20.6666666667,45.6666666667,12.6363636364,15.1515,132.411297205,-1.332,0,0,0,0,0,0,0,0,0,0,0,0
1554945809.52,21,45,21.3333333333,45.0,12.5181818182,13.653,132.823167484,-1.4985,0,0,0,0,0,0,0,0,0,0,0,0
1554945809.61,7,59,7.33333333333,59.0,13.3757575758,20.8125,140.353350736,7.1595,0,0,0,0,0,0,0,0,0,0,0,0
1554945809.7,5,60,5.66666666667,60.6666666667,16.6878787879,26.4735,152.791515662,5.661,0,0,0,0,0,0,0,0,0,0,0,0
1554945809.8,15,51,15.0,51.3333333333,18.7818181818,24.4755,161.987864096,-1.998,0,0,0,0,0,0,0,0,0,0,0,0
1554945809.89,17,48,17.6666666667,48.6666666667,16.7545454545,21.4785,167.267577686,-2.997,0,0,0,0,0,0,0,0,0,0,0,0
1554945809.98,15,51,15.3333333333,51.0,14.8393939394,20.646,171.186819918,-0.8325,0,0,0,0,0,0,0,0,0,0,0,0
1554945810.08,14,51,14.6666666667,51.6666666667,13.7787878788,20.313,174.381137926,-0.333,0,0,0,0,0,0,0,0,0,0,0,0
1554945810.17,17,49,17.3333333333,49.0,12.8060606061,18.4815,175.424524133,-1.8315,0,0,0,0,0,0,0,0,0,0,0,0
1554945810.27,21,44,21.6666666667,44.6666666667,11.9818181818,14.652,172.53407172,-3.8295,0,0,0,0,0,0,0,0,0,0,0,0
1554945810.36,24,42,24.3333333333,42.0,11.3363636364,10.4895,165.770164548,-4.1625,0,0,0,0,0,0,0,0,0,0,0,0
1554945810.45,25,41,25.3333333333,41.0,11.0515151515,7.326,156.519148093,-3.1635,0,0,0,0,0,0,0,0,0,0,0,0
1554945810.55,26,40,26.3333333333,40.0,10.7,4.8285,145.695733284,-2.4975,0,0,0,0,0,0,0,0,0,0,0,0
1554945810.64,27,39,27.3333333333,39.0,10.4090909091,2.8305,133.956659955,-1.998,0,0,0,0,0,0,0,0,0,0,0,0
1554945810.73,28,38,28.0,38.3333333333,10.196969697,1.332,121.89299396,-1.4985,0,0,0,0,0,0,0,0,0,0,0,0
1554945810.83,29,36,29.6666666667,36.6666666667,10.0575757576,-0.166494918823,109.537199645,-1.49849491882,0,0,0,0,0,0,0,0,0,0,0,0
1554945810.92,30,35,30.6666666667,35.6666666667,9.97575757577,-1.4985,97.0849796806,-1.33200508118,0,0,0,0,0,0,0,0,0,0,0,0
1554945811.01,31,35,31.0,35.3333333333,9.93636363637,-2.331,85.0454817125,-0.8325,0,0,0,0,0,0,0,0,0,0,0,0
1554945811.11,32,33,32.6666666667,33.6666666667,9.9787878788,-3.4965,73.0444335413,-1.1655,0,0,0,0,0,0,0,0,0,0,0,0
1554945811.2,32,33,32.6666666667,33.6666666667,10.003030303,-3.996,61.7439901872,-0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1554945811.29,33,33,33.0,33.3333333333,9.91818181817,-4.329,51.2405911684,-0.333,0,0,0,0,0,0,0,0,0,0,0,0
1554945811.39,33,33,33.3333333333,33.0,9.98484848483,-4.329,41.7875320516,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1554945811.48,34,32,34.0,32.3333333333,10.1,-4.4955,33.1132788464,-0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1554945811.58,34,32,34.3333333333,32.0,10.1151515152,-4.662,25.1399509618,-0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1554945811.67,34,32,34.0,32.3333333333,10.1151515152,-4.329,18.2969558656,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1554945811.76,33,32,33.6666666667,32.6666666667,10.1090909091,-3.663,12.8042602791,0.666,0,0,0,0,0,0,0,0,0,0,0,0
1554945811.86,34,32,34.0,32.3333333333,10.1090909091,-3.33,8.19383425115,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1554945811.95,34,32,34.0,32.3333333333,10.1151515152,-2.997,4.37745082603,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1554945812.04,33,33,33.3333333333,33.0,10.103030303,-2.331,1.60870574343,0.666,0,0,0,0,0,0,0,0,0,0,0,0
