connected to 192.168.1.14
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1554856956.4,49,17,49.0,17.3333333333,9.2515151515,-17.982,-17.982,-17.982,0,0,0,0,0,0,0,0,0,0,0,0
1554856956.49,44,22,44.0,22.3333333333,10.7121212121,-18.1485,-34.3323,-0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1554856956.58,43,22,43.6666666667,22.6666666667,10.6424242424,-16.983,-47.88207,1.1655,0,0,0,0,0,0,0,0,0,0,0,0
1554856956.67,42,24,42.3333333333,24.0,10.5878787879,-14.4855,-57.579363,2.4975,0,0,0,0,0,0,0,0,0,0,0,0
1554856956.77,40,25,40.6666666667,25.6666666667,10.4272727273,-10.9889949188,-62.8104216188,3.49650508118,0,0,0,0,0,0,0,0,0,0,0,0
1554856956.86,38,27,38.6666666667,27.6666666667,10.4303030303,-7.1595,-63.6888794569,3.82949491882,0,0,0,0,0,0,0,0,0,0,0,0
1554856956.96,36,30,36.0,30.3333333333,10.3060606061,-2.66399491882,-59.9839864301,4.49550508118,0,0,0,0,0,0,0,0,0,0,0,0
1554856957.05,33,33,33.0,33.3333333333,10.2818181818,2.331,-51.6545877871,4.99499491882,0,0,0,0,0,0,0,0,0,0,0,0
1554856957.14,29,37,29.3333333333,37.0,10.3363636364,7.992,-38.4971290084,5.661,0,0,0,0,0,0,0,0,0,0,0,0
1554856957.24,25,40,25.6666666667,40.6666666667,10.7212121212,13.4865,-21.1609161075,5.4945,0,0,0,0,0,0,0,0,0,0,0,0
1554856957.33,26,40,26.0,40.3333333333,11.3666666667,14.1525,-4.89232449677,0.666,0,0,0,0,0,0,0,0,0,0,0,0
1554856957.42,29,37,29.3333333333,37.0,11.4757575758,9.8235,5.42040795291,-4.329,0,0,0,0,0,0,0,0,0,0,0,0
1554856957.52,32,33,32.6666666667,33.6666666667,12.0757575758,4.16250508118,9.04087223879,-5.66099491882,0,0,0,0,0,0,0,0,0,0,0,0
1554856957.61,39,27,39.0,27.3333333333,12.1545454545,-5.661,2.47578501491,-9.82350508118,0,0,0,0,0,0,0,0,0,0,0,0
1554856957.71,44,22,44.3333333333,22.0,12.2,-14.985,-12.7567934866,-9.324,0,0,0,0,0,0,0,0,0,0,0,0
1554856957.8,47,18,47.6666666667,18.6666666667,12.4424242424,-21.312,-32.7931141379,-6.327,0,0,0,0,0,0,0,0,0,0,0,0
1554856957.89,49,17,49.3333333333,17.0,12.3121212121,-24.8085,-54.3223027241,-3.4965,0,0,0,0,0,0,0,0,0,0,0,0
1554856957.99,50,15,50.6666666667,15.6666666667,12.096969697,-26.307,-75.1970724517,-1.4985,0,0,0,0,0,0,0,0,0,0,0,0
1554856958.08,52,13,52.3333333333,14.0,12.1151515152,-27.8055,-95.4828652065,-1.4985,0,0,0,0,0,0,0,0,0,0,0,0
1554856958.17,51,14,52.0,14.3333333333,12.7363636364,-26.973,-112.907578686,0.8325,0,0,0,0,0,0,0,0,0,0,0,0
1554856958.27,49,16,49.6666666667,16.6666666667,12.8333333333,-22.977,-124.593820817,3.996,0,0,0,0,0,0,0,0,0,0,0,0
1554856958.36,46,20,46.3333333333,20.0,13.3696969697,-17.316,-129.450438736,5.661,0,0,0,0,0,0,0,0,0,0,0,0
