connected to 192.168.1.17
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1552864022.11,31,35,31.0,35.3333333333,10.9818181818,4.1625,8.325,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1552864022.12,31,35,31.0,35.3333333333,10.9818181818,4.1625,8.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1552864022.13,31,35,31.0,35.3333333333,10.9878787879,4.1625,8.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1552864022.14,32,33,31.0,35.3333333333,10.9878787879,4.1625,8.325,0.0,34.0,32.3333333333,18.1794871795,-0.845013997878,-0.00413899591004,-2.65001812796,0,0,0,0,0,0
1552864022.22,32,33,31.0,35.3333333333,10.9878787879,4.1625,8.325,0.0,34.0,32.3333333333,18.1794871795,-0.845013997878,-0.00413899591004,-2.65001812796,0,0,0,0,0,0
1552864022.32,32,33,31.0,35.3333333333,10.9939393939,4.1625,8.325,0.0,34.0,32.3333333333,18.1794871795,-0.845013997878,-0.00413899591004,-2.65001812796,0,0,0,0,0,0
1552864022.34,32,33,31.0,35.3333333333,10.9939393939,4.1625,8.325,0.0,34.0,32.3333333333,18.1794871795,-0.845013997878,-0.00413899591004,-2.65001812796,0.0,0.0,0.0,0.0,0.0,0.0
1552864022.38,33,33,31.0,35.3333333333,10.9939393939,4.1625,8.325,0.0,34.0,32.3333333333,18.1794871795,-0.845013997878,-0.00413899591004,-2.65001812796,34.6666666667,31.6666666667,16.1025641026,-2.93430672357,-6.53636173678,-3.621483614
1552864022.41,33,33,31.0,35.3333333333,10.9939393939,4.1625,8.325,0.0,34.0,32.3333333333,18.1794871795,-0.845013997878,-0.00413899591004,-2.65001812796,35.0,31.3333333333,16.7435897436,-3.73408572755,-7.00226659594,-2.87195781384
1552864022.41,33,33,31.0,35.3333333333,10.9878787879,4.1625,8.325,0.0,34.0,32.3333333333,18.1794871795,-0.845013997878,-0.00413899591004,-2.65001812796,35.0,31.3333333333,16.7435897436,-3.73408572755,-7.00226659594,-2.87195781384
1552864022.44,33,33,31.0,35.3333333333,10.9878787879,4.1625,8.325,0.0,34.0,32.3333333333,18.1794871795,-0.845013997878,-0.00413899591004,-2.65001812796,35.0,31.3333333333,16.7179487179,-3.76868462402,-7.26981792199,-2.9065567103
1552864022.46,33,33,31.0,35.3333333333,10.9878787879,4.1625,8.325,0.0,34.0,32.3333333333,18.1794871795,-0.845013997878,-0.00413899591004,-2.65001812796,34.6666666667,31.6666666667,16.1282051282,-3.14669955083,-6.78160851183,-3.33924179272
1552864022.48,33,33,31.0,35.3333333333,10.9878787879,4.1625,8.325,0.0,34.0,32.3333333333,18.1794871795,-0.845013997878,-0.00413899591004,-2.65001812796,35.0,31.3333333333,16.358974359,-3.38156934685,-6.77237360276,-3.11371806774
