Active on port: 4000
black
[75, 54, 19]
('P, I, D, (E), (T) --->', 8.46307081604004, 16.54200380913459, 0.040608764648437656, 68.45454545454545, 1551058410.003862)
('P, I, D, (E), (T) --->', 7.736157669067383, 16.00715957363468, -0.726913146972656, 68.36363636363636, 1551058410.2143)
('P, I, D, (E), (T) --->', 4.422402191162109, 12.42598197797945, -3.313755477905274, 69.2, 1551058410.410335)
('P, I, D, (E), (T) --->', 4.029296951293945, 10.24228794028367, -0.3931052398681638, 69.14545454545454, 1551058410.577438)
('P, I, D, (E), (T) --->', 8.11223080444336, 13.233374774585196, 4.082933853149415, 68.03636363636363, 1551058410.776881)
('P, I, D, (E), (T) --->', 8.169063766479493, 14.78575115377209, 0.05683296203613253, 73.9, 1551058410.983996)
('P, I, D, (E), (T) --->', -18.161309646606448, -10.768434069720403, -26.33037341308594, 63.872727272727275, 1551058411.261879)
('P, I, D, (E), (T) --->', -3.66706494140625, -9.051281976266452, 14.494244705200197, 47.527272727272724, 1551058411.486454)
('P, I, D, (E), (T) --->', 40.18974032592774, 35.66409933779451, 43.85680526733399, 47.654545454545456, 1551058411.7269)
('P, I, D, (E), (T) --->', 41.270714950561526, 59.10276461945878, 1.0809746246337895, 43.19090909090909, 1551058411.932007)
('P, I, D, (E), (T) --->', 41.270714950561526, 70.82209726029092, 0.0, 43.24545454545454, 1551058412.133137)
('P, I, D, (E), (T) --->', 41.270714950561526, 76.68176358070698, 0.0, 43.24545454545454, 1551058412.338421)
('P, I, D, (E), (T) --->', 41.437214950561525, 79.77809674091502, 0.1664999999999992, 43.09090909090909, 1551058412.521187)
('P, I, D, (E), (T) --->', 41.437214950561525, 81.32626332101904, 0.0, 43.10909090909091, 1551058412.737516)
('P, I, D, (E), (T) --->', 38.95066996765137, 79.6138016281609, -2.4865449829101536, 51.0, 1551058412.891994)
('P, I, D, (E), (T) --->', 25.20733680725098, 65.01423762133143, -13.743333160400393, 65.25454545454545, 1551058413.158716)
('P, I, D, (E), (T) --->', -7.641261611938477, 24.86585719872724, -32.84859841918946, 72.81818181818181, 1551058413.339755)
