Active on port: 4000
init camera on /dev/video0
green
[54, 129, 95]
red
[7, 253, 142]
('P, I, D, (E), (T) --->', -8.265245548498797, -16.59567691470207, 19.636132090656133, 93.5, 1551057575.378457)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.618835516306675, 19.636132090656133, 93.57692307692308, 1551057575.410418)
('P, I, D, (E), (T) --->', -8.380696478017853, -16.69011423617119, 20.065773814288946, 92.88461538461539, 1551057575.446655)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.777617923638548, 20.065773814288946, 93.11538461538461, 1551057575.478949)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.821369767372225, 20.065773814288946, 93.1923076923077, 1551057575.510504)
('P, I, D, (E), (T) --->', -8.265245548498797, -16.67593043218491, 19.636132090656133, 93.57692307692308, 1551057575.546505)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.658962275048097, 19.636132090656133, 93.34615384615384, 1551057575.578696)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.65047819647969, 19.636132090656133, 93.34615384615384, 1551057575.610881)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.646236157195485, 19.636132090656133, 93.73076923076923, 1551057575.646673)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.755678884150697, 20.065773814288946, 93.03846153846153, 1551057575.678795)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.69883650103099, 19.636132090656133, 93.65384615384616, 1551057575.71097)
('P, I, D, (E), (T) --->', -8.265245548498797, -16.61466379901429, 19.636132090656133, 93.42307692307692, 1551057575.746776)
('P, I, D, (E), (T) --->', -8.380696478017853, -16.688028377525, 20.065773814288946, 93.11538461538461, 1551057575.778823)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.776574994315453, 20.065773814288946, 92.88461538461539, 1551057575.810804)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.709284556113367, 19.636132090656133, 93.34615384615384, 1551057575.846879)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.787203083609636, 20.065773814288946, 93.03846153846153, 1551057575.878728)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.826162347357773, 20.065773814288946, 92.96153846153847, 1551057575.910702)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.734078232634527, 19.636132090656133, 93.34615384615384, 1551057575.94672)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.799599921870218, 20.065773814288946, 92.96153846153847, 1551057575.979286)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.832360766488062, 20.065773814288946, 93.11538461538461, 1551057576.010768)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.848741188796986, 20.065773814288946, 93.03846153846153, 1551057576.046634)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.745367653354133, 19.636132090656133, 93.65384615384616, 1551057576.07869)
('P, I, D, (E), (T) --->', -8.265245548498797, -16.637929375175865, 19.636132090656133, 93.5, 1551057576.110914)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.639961746543573, 19.636132090656133, 93.57692307692308, 1551057576.14759)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.75254167882474, 20.065773814288946, 92.96153846153847, 1551057576.178728)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.808831644965323, 20.065773814288946, 92.88461538461539, 1551057576.210742)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.725412881438302, 19.636132090656133, 93.42307692307692, 1551057576.247581)
('P, I, D, (E), (T) --->', -8.892454299464589, -17.25516074018374, 19.064674850147185, 93.57692307692308, 1551057576.278739)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.94857742904751, 19.636132090656133, 93.5, 1551057576.310786)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.906849520076708, 20.065773814288946, 93.34615384615384, 1551057576.347366)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.885985565591305, 20.065773814288946, 93.11538461538461, 1551057576.378784)
('P, I, D, (E), (T) --->', -9.004018046061901, -17.447010828857554, 19.494316573779997, 93.11538461538461, 1551057576.410735)
('P, I, D, (E), (T) --->', -8.32099705895564, -17.04450247338442, 19.636132090656133, 93.73076923076923, 1551057576.447364)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.84324829564785, 19.636132090656133, 93.5, 1551057576.47864)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.742621206779567, 19.636132090656133, 93.26923076923077, 1551057576.510972)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.803871408942737, 20.065773814288946, 93.11538461538461, 1551057576.54674)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.834496510024323, 20.065773814288946, 92.96153846153847, 1551057576.578747)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.738245313967802, 19.636132090656133, 93.26923076923077, 1551057576.61075)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.69011971593954, 19.636132090656133, 93.5, 1551057576.646854)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.777620663522725, 20.065773814288946, 93.03846153846153, 1551057576.678757)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.709807390717003, 19.636132090656133, 93.57692307692308, 1551057576.711106)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.675900754314142, 19.636132090656133, 93.26923076923077, 1551057576.746832)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.65894743611271, 19.636132090656133, 93.65384615384616, 1551057576.778775)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.650470777011996, 19.636132090656133, 93.42307692307692, 1551057576.810772)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.64623244746164, 19.636132090656133, 93.5, 1551057576.847807)
('P, I, D, (E), (T) --->', -8.380696478017853, -16.703812701748674, 20.065773814288946, 92.88461538461539, 1551057576.879675)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.78446715642729, 20.065773814288946, 93.34615384615384, 1551057576.911279)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.824794383766598, 20.065773814288946, 93.1923076923077, 1551057576.947244)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.844957997436254, 20.065773814288946, 93.1923076923077, 1551057576.979438)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.743476057673767, 19.636132090656133, 93.5, 1551057577.011716)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.692735087792524, 19.636132090656133, 93.34615384615384, 1551057577.04765)
('P, I, D, (E), (T) --->', -8.265245548498797, -16.61161309239506, 19.636132090656133, 93.1923076923077, 1551057577.079274)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.62680360515317, 19.636132090656133, 93.42307692307692, 1551057577.110769)
