Active on port: 4001
init camera on /dev/video1
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.3206453
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.3529837
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.384866
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.4192905
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.4513965
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.4831173
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.5228343
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.5523124
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.5859227
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.6190012
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.6504507
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.686281
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.7228723
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.7515278
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.7838252
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.8193042
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.8527138
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.8833098
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.9194465
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.9511256
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.984039
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.023902
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.0526733
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.0856962
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.122432
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.1527803
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.1834877
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.2200675
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.255083
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.2831295
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.3231385
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.355612
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.3860133
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.4196496
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.4529946
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.4881659
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.5214772
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.5551548
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.5872135
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.620694
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.652348
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.6831322
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.719735
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.7559843
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.7900434
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.8199463
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.8517163
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.883675
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.918804
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.9509923
P, I, D, (E), (T) ---> 0 0 0 0 1546296225.9834146
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.0198429
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.054386
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.0841293
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.1210706
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.1510346
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.1845524
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.2200434
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.2517538
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.28448
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.3207195
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.3518057
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.389122
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.4232695
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.454329
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.484558
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.5184157
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.5510826
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.5830622
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.6221793
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.6515746
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.6843219
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.7231412
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.7540262
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.7850811
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.8262162
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.851924
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.887907
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.9193618
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.9542267
P, I, D, (E), (T) ---> 0 0 0 0 1546296226.9857962
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.0219748
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.0535998
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.0854588
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.1207702
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.1524389
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.1879034
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.2201145
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.2520208
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.2842562
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.3200698
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.3536353
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.3841457
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.4191296
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.452015
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.4831867
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.5191653
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.5528507
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.58607
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.6190157
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.654413
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.6842904
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.7253692
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.7498155
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.7839534
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.819545
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.8553438
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.8829799
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.9190936
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.9520557
P, I, D, (E), (T) ---> 0 0 0 0 1546296227.9875462
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.0208669
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.051837
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.0828335
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.1196232
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.1559038
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.184345
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.219561
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.252748
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.2828493
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.3261812
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.3504086
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.3824549
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.4195547
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.4561768
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.4846444
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.5225308
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.5525885
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.5851097
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.623153
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.6526093
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.6842313
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.7192411
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.7544413
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.7832174
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.8183808
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.853177
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.8855612
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.93019
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.957522
P, I, D, (E), (T) ---> 0 0 0 0 1546296228.985046
P, I, D, (E), (T) ---> 0 0 0 0 1546296229.024
P, I, D, (E), (T) ---> 0 0 0 0 1546296229.0569136
P, I, D, (E), (T) ---> 0 0 0 0 1546296229.085543
P, I, D, (E), (T) ---> 0 0 0 0 1546296229.1230066
P, I, D, (E), (T) ---> 0 0 0 0 1546296229.1539505
P, I, D, (E), (T) ---> 0 0 0 0 1546296229.1872108
P, I, D, (E), (T) ---> 0 0 0 0 1546296229.221931
P, I, D, (E), (T) ---> 0 0 0 0 1546296229.2545605
P, I, D, (E), (T) ---> 0 0 0 0 1546296229.2874804
P, I, D, (E), (T) ---> 0 0 0 0 1546296229.3232298
P, I, D, (E), (T) ---> 0 0 0 0 1546296229.3540266
P, I, D, (E), (T) ---> 0 0 0 0 1546296229.384654
P, I, D, (E), (T) ---> 0 0 0 0 1546296229.4201794
P, I, D, (E), (T) ---> 48.81601682454076 48.81601682454076 36.05384343923965 41.07142857142857 1546296229.4537554
P, I, D, (E), (T) ---> 0 0 0 0 1546296229.490378
P, I, D, (E), (T) ---> 0 0 0 0 1546296229.523218
P, I, D, (E), (T) ---> 48.5213671910275 72.92937560329788 35.77607771789466 46.357142857142854 1546296229.555817
P, I, D, (E), (T) ---> 50.843948352845615 87.30863615449456 34.99202019855866 36.82142857142857 1546296229.587114
P, I, D, (E), (T) ---> 46.850835290167325 90.50515336741461 32.0053832080835 48.0 1546296229.6219726
P, I, D, (E), (T) ---> 46.041835938968475 91.29441262267578 30.846587412148594 43.5 1546296229.6526968
P, I, D, (E), (T) ---> 0 0 0 0 1546296229.6881602
P, I, D, (E), (T) ---> 37.43200816474999 83.07921447608788 24.386371101801387 48.714285714285715 1546296229.7241461
P, I, D, (E), (T) ---> 35.08403294100469 76.62364017904864 22.19028889612254 50.892857142857146 1546296229.7548745
P, I, D, (E), (T) ---> 29.01075902510709 67.32257911463141 18.886087369709287 46.214285714285715 1546296229.787829
P, I, D, (E), (T) ---> 28.293760626651732 61.95505018396744 19.647617025489794 36.964285714285715 1546296229.8220243
P, I, D, (E), (T) ---> 25.343917357135766 56.32144244911949 15.561510325328484 52.17857142857143 1546296229.8548403
P, I, D, (E), (T) ---> 19.584218746608258 47.744939971168 12.29526642299814 51.892857142857146 1546296229.8861177
P, I, D, (E), (T) ---> 15.184164213617123 39.05663419920113 9.344671902099677 52.75 1546296229.92147
P, I, D, (E), (T) ---> 14.870957355858039 34.3992744554586 8.530765609948133 50.214285714285715 1546296229.9535496
P, I, D, (E), (T) ---> 13.697335732103994 30.896972959833295 7.2142620392067585 56.107142857142854 1546296229.9854057
P, I, D, (E), (T) ---> 4.164357898690625 19.61284437860727 2.862405226111747 57.642857142857146 1546296230.0249667
P, I, D, (E), (T) ---> 3.420615448355207 13.227037637658842 2.1475854282984983 58.07142857142857 1546296230.056691
P, I, D, (E), (T) ---> -4.052778493433237 2.560740325396184 -1.450216290933426 58.32142857142857 1546296230.0846186
P, I, D, (E), (T) ---> 0.7073193685442618 1.9876895312423537 0.7073193685442618 58.035714285714285 1546296230.1218405
P, I, D, (E), (T) ---> -4.052778493433237 -3.0589337278120605 -1.450216290933426 61.535714285714285 1546296230.1544883
P, I, D, (E), (T) ---> -9.316002659073419 -10.84546952297945 -4.236394799058843 61.75 1546296230.188596
P, I, D, (E), (T) ---> -8.65594223501192 -14.078676996501645 -3.5763343749973444 64.96428571428571 1546296230.2231731
P, I, D, (E), (T) ---> -8.061436938198852 -15.100775436449675 -4.289153328819012 62.785714285714285 1546296230.2533605
P, I, D, (E), (T) ---> -8.815913611852139 -16.366301330076976 -3.6214847041173357 66.46428571428571 1546296230.286715
P, I, D, (E), (T) ---> -8.21581980700418 -16.39897047204267 -3.6677880555314175 65.25 1546296230.3215935
P, I, D, (E), (T) ---> -6.801314823981571 -15.000800060002906 -3.6214847041173357 63.857142857142854 1546296230.3531303
P, I, D, (E), (T) ---> -8.02371922508783 -15.524119255089284 -3.5763343749973444 61.0 1546296230.3846369
P, I, D, (E), (T) ---> -9.913870723238944 -17.675930350783585 -6.198302498740887 60.25 1546296230.424145
P, I, D, (E), (T) ---> -9.205709200469741 -18.043674375861535 -4.289153328819012 53.57142857142857 1546296230.4561532
P, I, D, (E), (T) ---> -7.517993405336583 -16.53983059326735 -4.722093957516876 57.82142857142857 1546296230.4853568
