Active on port: 4000
init camera on /dev/video0
green
[55, 112, 107]
red
[10, 248, 153]
('P, I, D, (E), (T) --->', -3.0926918639299856, -7.517617818267148, -6.123047690753026, 88.11538461538461, 1551058388.899361)
('P, I, D, (E), (T) --->', -3.2126138768193186, -6.9714227859528926, -6.0337990335264635, 88.03846153846153, 1551058388.935332)
('P, I, D, (E), (T) --->', -4.932989275980162, -8.418700668956609, -6.579357665373323, 88.23076923076923, 1551058388.967411)
('P, I, D, (E), (T) --->', -4.864428951458422, -9.073779285936727, -6.579357665373323, 88.11538461538461, 1551058388.999303)
('P, I, D, (E), (T) --->', -4.931016782460574, -9.467906425428938, -6.579357665373323, 88.11538461538461, 1551058389.035885)
('P, I, D, (E), (T) --->', -4.862374413595262, -9.59632762630973, -6.579357665373323, 87.92307692307692, 1551058389.067416)
('P, I, D, (E), (T) --->', -4.931016782460574, -9.72918059561544, -6.579357665373323, 88.23076923076923, 1551058389.098886)
('P, I, D, (E), (T) --->', -4.931016782460574, -9.795607080268294, -6.579357665373323, 87.96153846153847, 1551058389.135345)
('P, I, D, (E), (T) --->', -3.2126138768193186, -8.110417416953466, -6.0337990335264635, 87.88461538461539, 1551058389.167561)
('P, I, D, (E), (T) --->', -4.806361691642849, -8.861570400119582, -6.678654235197541, 87.96153846153847, 1551058389.199305)
('P, I, D, (E), (T) --->', -3.2846159740106486, -7.71540117407044, -6.0337990335264635, 87.88461538461539, 1551058389.235313)
('P, I, D, (E), (T) --->', -4.862374413595262, -8.720075000630482, -6.579357665373323, 87.65384615384616, 1551058389.267307)
('P, I, D, (E), (T) --->', -3.215994367104031, -7.576031867419272, -6.0337990335264635, 87.8076923076923, 1551058389.298869)
('P, I, D, (E), (T) --->', -3.2813175509584767, -7.069333484668112, -6.0337990335264635, 88.0, 1551058389.335306)
('P, I, D, (E), (T) --->', -4.931016782460574, -8.465683524794631, -6.579357665373323, 87.88461538461539, 1551058389.371091)
('P, I, D, (E), (T) --->', -4.795875145095408, -9.028716907492724, -6.579357665373323, 87.88461538461539, 1551058389.402341)
('P, I, D, (E), (T) --->', -3.086922557403966, -7.601281011150328, -6.133095603350682, 87.76923076923077, 1551058389.438602)
('P, I, D, (E), (T) --->', -3.2126138768193186, -7.013254382394482, -6.0337990335264635, 87.92307692307692, 1551058389.470826)
('P, I, D, (E), (T) --->', -3.2126138768193186, -6.71924106801656, -6.0337990335264635, 87.92307692307692, 1551058389.502374)
('P, I, D, (E), (T) --->', -3.2846159740106486, -6.6442365080189285, -6.0337990335264635, 87.92307692307692, 1551058389.538557)
('P, I, D, (E), (T) --->', -4.793738581892171, -8.115856835901635, -6.579357665373323, 88.0, 1551058389.570374)
('P, I, D, (E), (T) --->', -3.215994367104031, -7.2739227850548485, -6.0337990335264635, 87.76923076923077, 1551058389.602339)
('P, I, D, (E), (T) --->', -4.736779191659082, -8.373740584186507, -6.678654235197541, 87.84615384615384, 1551058389.638398)
('P, I, D, (E), (T) --->', -4.931774551765045, -9.118644843858299, -6.500111144377229, 87.84615384615384, 1551058389.673716)
('P, I, D, (E), (T) --->', -4.931016782460574, -9.490339204389723, -6.579357665373323, 87.92307692307692, 1551058389.705035)
('P, I, D, (E), (T) --->', -3.2813175509584767, -8.026487153153338, -6.0337990335264635, 87.92307692307692, 1551058389.738505)
('P, I, D, (E), (T) --->', -3.2813175509584767, -7.294561127535146, -6.0337990335264635, 87.61538461538461, 1551058389.770544)
('P, I, D, (E), (T) --->', -4.739136196025072, -8.386416759792645, -6.678654235197541, 87.57692307692308, 1551058389.802448)
('P, I, D, (E), (T) --->', -4.864428951458422, -9.057637331354744, -6.579357665373323, 87.5, 1551058389.838637)
('P, I, D, (E), (T) --->', -3.2813175509584767, -7.810136216635849, -6.0337990335264635, 88.07692307692308, 1551058389.870999)
('P, I, D, (E), (T) --->', -5.066808763152721, -8.971876871470645, -6.42260412533426, 87.88461538461539, 1551058389.902301)
('P, I, D, (E), (T) --->', -3.420128211422991, -7.906066647158314, -5.877045493487401, 87.57692307692308, 1551058389.938595)
('P, I, D, (E), (T) --->', -4.864428951458422, -8.817462275037578, -6.579357665373323, 87.8076923076923, 1551058389.970553)
('P, I, D, (E), (T) --->', -3.086922557403966, -7.495653694922755, -6.133095603350682, 87.92307692307692, 1551058390.002449)
('P, I, D, (E), (T) --->', -4.862378618639923, -8.6102054661013, -6.579357665373323, 88.0, 1551058390.038785)
('P, I, D, (E), (T) --->', -4.931016782460574, -9.236119515511223, -6.579357665373323, 87.92307692307692, 1551058390.070251)
('P, I, D, (E), (T) --->', -3.420128211422991, -8.038187969178603, -5.877045493487401, 87.6923076923077, 1551058390.102408)
('P, I, D, (E), (T) --->', -4.862374413595262, -8.881468398184563, -6.579357665373323, 87.92307692307692, 1551058390.139052)
('P, I, D, (E), (T) --->', -4.862374413595262, -9.303108612687543, -6.579357665373323, 88.07692307692308, 1551058390.170523)
