Active on port: 4001
init camera on /dev/video1
green
[49, 140, 95]
red
[9, 255, 142]
('P, I, D, (E), (T) --->', -33.63622904984459, -67.10713999520846, 172.7594852796571, 85.84615384615384, 1551058199.155362)
('P, I, D, (E), (T) --->', -33.65303046216076, -67.20660045976499, 172.7176914564149, 86.0, 1551058199.188034)
('P, I, D, (E), (T) --->', -33.45540979536952, -67.05871002525201, 172.68238907054757, 84.92307692307692, 1551058199.223188)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.18241009084448, 172.7176914564149, 86.0, 1551058199.255683)
('P, I, D, (E), (T) --->', -33.608730074305555, -67.1999351197278, 172.7594852796571, 86.07692307692308, 1551058199.287536)
('P, I, D, (E), (T) --->', -33.27121054979767, -66.87117810966157, 173.04908065990304, 84.96153846153847, 1551058199.319658)
('P, I, D, (E), (T) --->', -33.65303661617634, -67.08862567100712, 172.7176914564149, 86.0, 1551058199.3557)
('P, I, D, (E), (T) --->', -33.45540979536952, -66.99972263087308, 172.68238907054757, 84.76923076923077, 1551058199.387364)
('P, I, D, (E), (T) --->', -33.42774144399442, -66.92760275943095, 172.68238907054757, 84.84615384615384, 1551058199.423616)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.11685645793395, 172.7176914564149, 86.0, 1551058199.45675)
('P, I, D, (E), (T) --->', -33.42774144399442, -66.9861696729614, 172.68238907054757, 84.92307692307692, 1551058199.497704)
('P, I, D, (E), (T) --->', -33.42774144399442, -66.92082628047513, 172.68238907054757, 85.07692307692308, 1551058199.540627)
('P, I, D, (E), (T) --->', -33.23472765158442, -66.69514079182198, 173.04908065990304, 84.15384615384616, 1551058199.562356)
('P, I, D, (E), (T) --->', -33.42774144399442, -66.77531183990541, 172.68238907054757, 85.0, 1551058199.582548)
('P, I, D, (E), (T) --->', -33.65303661617634, -67.04069253612904, 172.7176914564149, 85.61538461538461, 1551058199.616533)
('P, I, D, (E), (T) --->', -33.58429744580934, -67.10464371387386, 172.7176914564149, 85.57692307692308, 1551058199.648727)
('P, I, D, (E), (T) --->', -33.680850258290235, -67.23317211522716, 172.7176914564149, 85.84615384615384, 1551058199.68102)
('P, I, D, (E), (T) --->', -33.427716003496926, -67.0443020611105, 172.68238907054757, 85.0, 1551058199.714158)
('P, I, D, (E), (T) --->', -33.57058443789248, -67.09273546844773, 172.7176914564149, 85.5, 1551058199.753986)
('P, I, D, (E), (T) --->', -33.62522189349818, -67.17158962772204, 172.7176914564149, 85.84615384615384, 1551058199.786335)
('P, I, D, (E), (T) --->', -33.40002747780579, -66.9858222916668, 172.68238907054757, 84.84615384615384, 1551058199.821735)
('P, I, D, (E), (T) --->', -33.40004587278469, -66.89295701861809, 172.68238907054757, 85.0, 1551058199.853808)
('P, I, D, (E), (T) --->', -33.427716003496926, -66.87419451280597, 172.68238907054757, 84.84615384615384, 1551058199.885841)
('P, I, D, (E), (T) --->', -33.680850258290235, -67.11794751469321, 172.7176914564149, 85.84615384615384, 1551058199.917624)
('P, I, D, (E), (T) --->', -33.45540979536952, -67.01438355271613, 172.68238907054757, 84.92307692307692, 1551058199.954158)
('P, I, D, (E), (T) --->', -33.59802374681087, -67.10521552316894, 172.7176914564149, 85.73076923076923, 1551058199.990435)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.20566283980294, 172.7176914564149, 86.0, 1551058200.026163)
('P, I, D, (E), (T) --->', -33.5814788734254, -67.18431029332686, 172.7594852796571, 85.73076923076923, 1551058200.059414)
('P, I, D, (E), (T) --->', -33.40002747780579, -66.99218262446922, 172.68238907054757, 84.61538461538461, 1551058200.090135)
('P, I, D, (E), (T) --->', -33.45540979536952, -66.95150110760413, 172.68238907054757, 84.84615384615384, 1551058200.122234)
('P, I, D, (E), (T) --->', -33.45540979536952, -66.93116034917159, 172.68238907054757, 85.07692307692308, 1551058200.154949)
('P, I, D, (E), (T) --->', -33.45540979536952, -66.92098996995531, 172.68238907054757, 84.76923076923077, 1551058200.187985)
('P, I, D, (E), (T) --->', -33.427716003496926, -66.88821098847458, 172.68238907054757, 84.53846153846153, 1551058200.222684)
