Active on port: 4000
black
[90, 5, 47]
('P, I, D, (E), (T) --->', 27.70804048919678, 44.28663153365325, 9.604117652893066, 77.34545454545454, 1551026274.122067)
('P, I, D, (E), (T) --->', 31.2123426361084, 53.35565840293502, 3.50430214691162, 73.83636363636364, 1551026274.342808)
('P, I, D, (E), (T) --->', 29.867540611267092, 56.545369812734606, -1.3448020248413073, 70.21818181818182, 1551026274.569148)
('P, I, D, (E), (T) --->', 28.1051979675293, 56.3778828738966, -1.7623426437377923, 68.14545454545454, 1551026274.746008)
('P, I, D, (E), (T) --->', 28.354953048706058, 56.54389448565436, 0.24975508117675815, 65.71818181818182, 1551026274.995194)
('P, I, D, (E), (T) --->', 32.162071735382085, 60.43401897820927, 3.807118686676027, 58.59090909090909, 1551026275.405282)
('P, I, D, (E), (T) --->', 46.453500000000005, 76.67050948910463, 14.29142826461792, 8.89090909090909, 1551026275.698293)
('P, I, D, (E), (T) --->', 0, 0, 0, 0, 1551026275.853794)
('P, I, D, (E), (T) --->', 46.453500000000005, 84.78875474455232, 0.0, 0, 1551026275.857282)
('P, I, D, (E), (T) --->', 49.617000000000004, 92.01137737227617, 3.163499999999999, 3.6, 1551026276.004707)
('P, I, D, (E), (T) --->', 42.4575, 88.4631886861381, -7.159500000000001, 53.4, 1551026276.233259)
('P, I, D, (E), (T) --->', 17.482505081176757, 61.7140994242458, -24.974994918823246, 54.14545454545455, 1551026276.422018)
('P, I, D, (E), (T) --->', -2.331, 28.5260497121229, -19.813505081176757, 53.763636363636365, 1551026276.595141)
('P, I, D, (E), (T) --->', -7.659000000000001, 6.60402485606145, -5.328000000000001, 59.70909090909091, 1551026276.820612)
('P, I, D, (E), (T) --->', 1.1655, 4.467512428030725, 8.8245, 59.00909090909091, 1551026277.031629)
('P, I, D, (E), (T) --->', 9.823500000000001, 12.057256214015364, 8.658000000000001, 61.71818181818182, 1551026277.463896)
('P, I, D, (E), (T) --->', 11.988000000000001, 18.016628107007683, 2.1645000000000003, 61.154545454545456, 1551026277.737191)
('P, I, D, (E), (T) --->', 7.3260000000000005, 16.334314053503842, -4.662000000000001, 60.32727272727273, 1551026278.09665)
('P, I, D, (E), (T) --->', -2.4975, 5.669657026751921, -9.823500000000001, 60.28181818181818, 1551026278.427166)
('P, I, D, (E), (T) --->', -7.492500000000001, -4.65767148662404, -4.995000000000001, 60.945454545454545, 1551026278.713639)
('P, I, D, (E), (T) --->', -5.827500000000001, -8.15633574331202, 1.665, 60.85454545454545, 1551026279.181041)
('P, I, D, (E), (T) --->', 1.332, -2.7461678716560103, 7.1595, 59.29090909090909, 1551026279.66686)
('P, I, D, (E), (T) --->', 7.492500000000001, 6.119416064171995, 6.160500000000001, 60.554545454545455, 1551026279.964841)
('P, I, D, (E), (T) --->', 7.1595, 10.219208032085998, -0.3330000000000002, 61.67272727272727, 1551026280.281943)
('P, I, D, (E), (T) --->', 6.8265, 11.936104016043, -0.3330000000000002, 62.6, 1551026280.575667)
('P, I, D, (E), (T) --->', 4.1625000000000005, 10.1305520080215, -2.6639999999999997, 62.07272727272727, 1551026281.126571)
('P, I, D, (E), (T) --->', 8.597625457763673, 13.662901461774423, 4.4351254577636725, 64.42727272727272, 1551026281.417725)
('P, I, D, (E), (T) --->', 17.999199783325196, 24.830650514212408, 9.401574325561523, 68.93636363636364, 1551026281.606406)
('P, I, D, (E), (T) --->', 22.98585395050049, 35.401179207606695, 4.9866541671752955, 72.62727272727273, 1551026281.797191)
('P, I, D, (E), (T) --->', 25.22475254058838, 42.92534214439173, 2.2388985900878886, 75.56363636363636, 1551026281.940789)
('P, I, D, (E), (T) --->', 26.17543817138672, 47.63810924358258, 0.9506856307983398, 75.94545454545455, 1551026282.201124)
('P, I, D, (E), (T) --->', 25.240948791503907, 49.0600034132952, -0.9344893798828124, 73.92727272727272, 1551026282.405785)
('P, I, D, (E), (T) --->', 25.502057762146, 50.0320594687936, 0.26110897064209126, 72.18181818181819, 1551026282.710145)
('P, I, D, (E), (T) --->', 24.65375276184082, 49.669782496237616, -0.848305000305178, 70.9090909090909, 1551026282.982382)
('P, I, D, (E), (T) --->', 22.803838577270508, 47.63872982538932, -1.8499141845703129, 69.55454545454545, 1551026283.156847)
('P, I, D, (E), (T) --->', 23.95154175567627, 47.77090666837093, 1.147703178405763, 69.41818181818182, 1551026283.442097)
('P, I, D, (E), (T) --->', 24.85709637451172, 48.74254970869718, 0.9055546188354491, 68.65454545454546, 1551026283.731905)
('P, I, D, (E), (T) --->', 20.837910964965822, 45.20918581931441, -4.019185409545898, 65.47272727272727, 1551026283.921769)
('P, I, D, (E), (T) --->', 18.148500000000002, 40.75309290965721, -2.6894109649658198, 63.27272727272727, 1551026284.122999)
('P, I, D, (E), (T) --->', 15.8175, 36.19404645482861, -2.3310000000000013, 62.527272727272724, 1551026284.320997)
('P, I, D, (E), (T) --->', 14.319, 32.41602322741431, -1.4985, 61.5, 1551026284.569728)
('P, I, D, (E), (T) --->', 11.1555, 27.363511613707153, -3.163500000000001, 60.39090909090909, 1551026284.775035)
('P, I, D, (E), (T) --->', 6.327, 20.00875580685358, -4.8285, 59.19090909090909, 1551026285.050274)
('P, I, D, (E), (T) --->', 1.4985000000000002, 11.50287790342679, -4.8285, 59.018181818181816, 1551026285.215904)
('P, I, D, (E), (T) --->', -1.1654949188232422, 4.585944032890152, -2.663994918823242, 58.472727272727276, 1551026285.420768)
('P, I, D, (E), (T) --->', -6.826494918823243, -4.5335229023781665, -5.6610000000000005, 58.627272727272725, 1551026285.642092)
('P, I, D, (E), (T) --->', -12.321000000000002, -14.587761451189085, -5.494505081176759, 60.20909090909091, 1551026285.846637)
('P, I, D, (E), (T) --->', -16.8165, -24.110380725594545, -4.4955, 60.61818181818182, 1551026286.188398)
('P, I, D, (E), (T) --->', -24.10227740478516, -36.15746776758243, -7.285777404785158, 59.71818181818182, 1551026286.490558)
('P, I, D, (E), (T) --->', -30.151916290283204, -48.23065017407442, -6.0496388854980445, 59.17272727272727, 1551026286.789211)
('P, I, D, (E), (T) --->', -30.828109130859378, -54.94343421789659, -0.6761928405761743, 58.88181818181818, 1551026287.014277)
('P, I, D, (E), (T) --->', -35.08176544189453, -62.55348255084283, -4.253656311035154, 59.35454545454545, 1551026287.23016)
('P, I, D, (E), (T) --->', -40.75108840942383, -72.02782968484524, -5.669322967529297, 54.24545454545454, 1551026287.40307)
('P, I, D, (E), (T) --->', -41.03487213134766, -77.04878697377029, -0.2837837219238324, 50.11818181818182, 1551026287.694379)
('P, I, D, (E), (T) --->', -17.14950508117676, -55.6738985680619, 23.885367050170903, 53.027272727272724, 1551026287.850964)
('P, I, D, (E), (T) --->', 1.2068912658691406, -26.63005801816181, 18.3563963470459, 57.74545454545454, 1551026288.069203)
('P, I, D, (E), (T) --->', 15.49033319091797, 2.1753041818370633, 14.283441925048828, 69.14545454545454, 1551026288.278622)
('P, I, D, (E), (T) --->', 22.355673706054688, 23.44332579697322, 6.865340515136719, 72.85454545454546, 1551026288.519908)
('P, I, D, (E), (T) --->', 25.902942283630374, 37.62460518211698, 3.547268577575686, 76.91818181818182, 1551026288.697354)
('P, I, D, (E), (T) --->', 25.574403556823732, 44.38670614788222, -0.32853872680664153, 80.5, 1551026288.847974)
('P, I, D, (E), (T) --->', 25.834178718566896, 48.02753179250801, 0.25977516174316406, 81.60909090909091, 1551026289.070873)
('P, I, D, (E), (T) --->', 28.837796951293946, 52.85156284754795, 3.0036182327270495, 79.2090909090909, 1551026289.26354)
('P, I, D, (E), (T) --->', 30.51584541320801, 56.94162683698198, 1.678048461914063, 74.7090909090909, 1551026289.467747)
('P, I, D, (E), (T) --->', 32.90384605407715, 61.37465947256814, 2.3880006408691408, 71.64545454545454, 1551026289.762296)
('P, I, D, (E), (T) --->', 37.51146984100342, 68.19879957728749, 4.607623786926268, 69.52727272727273, 1551026289.923598)
('P, I, D, (E), (T) --->', 39.30621641921997, 73.40561620786372, 1.7947465782165537, 71.00909090909092, 1551026290.11859)
('P, I, D, (E), (T) --->', 35.01461388015747, 71.71742198408933, -4.291602539062502, 77.54545454545455, 1551026290.376328)
('P, I, D, (E), (T) --->', 19.91795375061035, 55.776664742655015, -15.096660129547118, 72.26363636363637, 1551026290.768643)
('P, I, D, (E), (T) --->', 2.9137500000000003, 30.802082371327508, -17.00420375061035, 64.4, 1551026291.073145)
('P, I, D, (E), (T) --->', 2.9636369934082034, 18.36467817907196, 0.04988699340820313, 65.56363636363636, 1551026291.221391)
('P, I, D, (E), (T) --->', 9.657, 18.83933908953598, 6.693363006591797, 66.71818181818182, 1551026291.468558)
('P, I, D, (E), (T) --->', 18.13626452636719, 27.555934071135177, 8.479264526367189, 69.54545454545455, 1551026291.720676)
('P, I, D, (E), (T) --->', 23.296351959228517, 37.0743189947961, 5.160087432861328, 71.57272727272728, 1551026291.897086)
('P, I, D, (E), (T) --->', 24.99063732147217, 43.52779681887022, 1.6942853622436544, 72.04545454545455, 1551026292.290738)
('P, I, D, (E), (T) --->', 24.186574127197268, 45.950472536632375, -0.804063194274903, 71.47272727272727, 1551026292.448003)
('P, I, D, (E), (T) --->', 21.62051634979248, 44.59575261810867, -2.5660577774047866, 70.04545454545455, 1551026292.662793)
('P, I, D, (E), (T) --->', 19.23075, 41.52862630905433, -2.389766349792481, 68.71818181818182, 1551026292.858277)
('P, I, D, (E), (T) --->', 17.030120292663575, 37.79443344719074, -2.200629707336425, 68.24545454545455, 1551026293.038711)
('P, I, D, (E), (T) --->', 17.136695434570314, 36.033912158165684, 0.10657514190673822, 68.21818181818182, 1551026293.223974)
('P, I, D, (E), (T) --->', 18.881101524353028, 36.89805760343587, 1.7444060897827143, 69.26363636363637, 1551026293.383408)
('P, I, D, (E), (T) --->', 18.8529213180542, 37.30195011977214, -0.02818020629882767, 70.24545454545455, 1551026293.582272)
('P, I, D, (E), (T) --->', 17.873171356201173, 36.52414641608724, -0.9797499618530274, 70.60909090909091, 1551026293.872345)
